mode,n_tracts,total_pop,mean_15min,mean_30min,median_15min,median_30min
bicycle,23,10055,2.7137742416708104,2.7547488811536547,3,3
car,2578,1239024,40.881170179108715,50.22537335838531,25,53
transit,2416,1159705,2.380642203548891,20.184045195401705,1,15.333333333333334
walk,23,10055,1.8868224763799104,2.631824962705122,2,3
