mode,threshold,n_tracts,total_pop_M,mean_banks,pct_coverage,threshold_min
bicycle,05min,103281,51.738071,1.0651282688912,41.422224651553016,5
bicycle,10min,103281,51.738071,3.5351324752714497,65.77840716172044,10
bicycle,15min,103281,51.738071,7.269356949933445,76.13860400786879,15
bicycle,20min,103281,51.738071,12.169276914092912,81.26797576198771,20
bicycle,25min,103281,51.738071,18.29430735830874,84.39148417419737,25
bicycle,30min,103281,51.738071,25.545336566568167,86.36759573042451,30
bicycle,35min,103281,51.738071,33.95855746148711,87.81176051190621,35
bicycle,40min,103281,51.738071,43.74750369027094,88.89680869624999,40
bicycle,45min,103281,51.738071,54.77947554326098,89.7146493923208,45
bicycle,50min,103281,51.738071,66.91083003461803,90.37840432821703,50
bicycle,55min,103281,51.738071,80.15655073417793,90.99436273919065,55
bicycle,60min,103281,51.738071,93.49900095811458,91.48820604463587,60
car,05min,103281,51.738071,23.53502792943324,85.94272871131976,5
car,10min,103281,51.738071,107.899237352703,92.61899230839124,10
car,15min,103281,51.738071,259.19377429050263,95.54477591559221,15
car,20min,103281,51.738071,467.7049074365374,97.31083132187128,20
car,25min,103281,51.738071,715.9508207795377,98.35097446907135,25
car,30min,103281,51.738071,966.1284108369638,99.01429645492581,30
car,35min,103281,51.738071,1152.3507677547545,99.37482593813752,35
car,40min,103281,51.738071,1252.368528196577,99.57599501535339,40
car,45min,103281,51.738071,1295.7398731583944,99.64098777474715,45
car,50min,103281,51.738071,1295.7398731583944,99.64098777474715,50
car,55min,103281,51.738071,1295.7398731583944,99.64098777474715,55
car,60min,103281,51.738071,1295.7398731583944,99.64098777474715,60
transit,05min,103281,51.738071,0.26689441127405,16.66184075552411,5
transit,10min,103281,51.738071,1.4057645255721523,46.29493820904146,10
transit,15min,103281,51.738071,5.190685568853157,68.89566292488949,15
transit,20min,103281,51.738071,14.716509879156492,80.65581726075563,20
transit,25min,103281,51.738071,32.58566688670451,85.96527883693228,25
transit,30min,103281,51.738071,60.12374911084979,88.67172879329034,30
transit,35min,103281,51.738071,98.27432319519605,90.20188247837845,35
transit,40min,103281,51.738071,147.23304405086924,91.39392344179203,40
transit,45min,103281,51.738071,206.2487975756447,92.43118283246393,45
transit,50min,103281,51.738071,274.3282563060124,93.45985666918274,50
transit,55min,103281,51.738071,350.73930832320104,94.48049193793871,55
transit,60min,103281,51.738071,417.37193320176164,95.33897775199233,60
walk,05min,103281,51.738071,0.2646806062792716,16.60168969190985,5
walk,10min,103281,51.738071,1.1240445744488619,43.907056372472795,10
walk,15min,103281,51.738071,2.5289080839523375,62.601460344356475,15
walk,20min,103281,51.738071,4.38772585858487,72.47766543132232,20
walk,25min,103281,51.738071,6.668073554578407,77.90205011702118,25
walk,30min,103281,51.738071,9.344913265127337,81.38752795789391,30
walk,35min,103281,51.738071,12.395528217509307,83.80326742371203,35
walk,40min,103281,51.738071,15.77918761215508,85.38392357148375,40
walk,45min,103281,51.738071,19.471339876587205,86.68991157401288,45
walk,50min,103281,51.738071,23.4630687332738,87.65132546205675,50
walk,55min,103281,51.738071,27.787640265907864,88.53077069688199,55
walk,60min,103281,51.738071,32.2296937007953,89.1978462049735,60
