sido_cd,sido_nm,sido_en,mode,mean_access_2021,mean_access_2022,mean_access_2023,access_change,access_pct_change,total_pop_2021,total_pop_2022,total_pop_2023,banks_2021,banks_2022,banks_2023,bank_change,bank_pct_change
11,서울특별시,Seoul,car,325.4597361289603,312.1340847524956,297.8656729300362,-27.59406319892406,-8.478487547224638,9472127,9417469,9384512,1755,1644,1602,-153,-8.717948717948717
11,서울특별시,Seoul,transit,193.34566356285833,166.73166188990552,169.96466273366158,-23.38100082919675,-12.092849872267958,9472127,9417469,9384512,1755,1644,1602,-153,-8.717948717948717
21,부산광역시,Busan,car,127.89085967569454,109.94253283006044,106.06734166685978,-21.823518008834768,-17.064173361704512,3324335,3295760,3279604,482,468,464,-18,-3.7344398340248963
21,부산광역시,Busan,transit,76.20260763932235,57.91045444247559,50.13545649617047,-26.067151143151882,-34.207689146979554,3324335,3295760,3279604,482,468,464,-18,-3.7344398340248963
22,대구광역시,Daegu,car,119.40618114922987,114.67402159128444,105.98808711207353,-13.418094037156337,-11.237352964489208,2409196,2388649,2379188,315,287,279,-36,-11.428571428571429
22,대구광역시,Daegu,transit,42.11693361602792,41.97114526523849,44.43172649660304,2.3147928805751192,5.496109716055413,2409196,2388649,2379188,315,287,279,-36,-11.428571428571429
23,인천광역시,Incheon,car,93.44459128778604,89.15100037636432,87.78356681372792,-5.661024474058124,-6.058161736320917,2957044,2989125,3025950,265,257,257,-8,-3.018867924528302
23,인천광역시,Incheon,transit,41.78934289333086,36.74805280252025,34.35414115126379,-7.435201742067072,-17.79210015588365,2957044,2989125,3025950,265,257,257,-8,-3.018867924528302
24,광주광역시,Gwangju,car,94.02643327083597,91.03887412421749,87.22458324468633,-6.801850026149637,-7.233976435708699,1475262,1468972,1457090,174,166,167,-7,-4.022988505747127
24,광주광역시,Gwangju,transit,39.97930876007109,35.216331330118386,33.646613455586134,-6.332695304484957,-15.839931957026904,1475262,1468972,1457090,174,166,167,-7,-4.022988505747127
25,대전광역시,Daejeon,car,75.2998351061673,72.13616826653602,70.48720836597893,-4.812626740188364,-6.391284567094882,1479740,1473662,1470336,150,148,145,-5,-3.3333333333333335
25,대전광역시,Daejeon,transit,37.135614702582885,31.826810467167277,30.347662371049882,-6.787952331533003,-18.27882044204019,1479740,1473662,1470336,150,148,145,-5,-3.3333333333333335
26,울산광역시,Ulsan,car,48.95123992530022,43.63633482093009,40.78123352043285,-8.170006404867372,-16.690090827800958,1120753,1110516,1107432,124,119,124,0,0
26,울산광역시,Ulsan,transit,42.849523192591654,35.88007751951946,32.716267229048825,-10.13325596354283,-23.64846842751984,1120753,1110516,1107432,124,119,124,0,0
29,세종특별자치시,Sejong,car,22.255491812455116,22.629354215620417,22.623156363184478,0.3676645507293621,1.6520171912067179,366227,382589,386261,44,44,44,0,0
29,세종특별자치시,Sejong,transit,16.334396426260216,16.985589409697265,16.670054703943705,0.3356582776834891,2.0549169306547714,366227,382589,386261,44,44,44,0,0
31,경기도,Gyeonggi,car,64.57550187221723,61.416125381957364,57.090597376095765,-7.484904496121466,-11.59093507462425,13652529,13717827,13815367,1180,1121,1112,-68,-5.762711864406779
