year,mode,threshold,total_pop_M,median_banks,pct_coverage
2021,car,10min,51.738071,58,92.61899230839124
2021,transit,30min,51.738071,27,88.67172879329034
2022,car,10min,51.692272,55,92.72895956285303
2022,transit,30min,51.692272,23.5,88.55586769333722
2023,car,10min,51.774521,52,92.8297086514813
2023,transit,30min,51.774521,22.166666666666668,88.48922040244467
2024,car,10min,51.774521,47,92.753966762918
2024,transit,30min,51.774521,17.833333333333332,87.64314014609619
